,,,,,Funnel step: Added to cart,Funnel step: Reached checkout page,Funnel step: purchase (also is considred conversion),
Product,/products/17-inch-tall-kids-first-raised-bed,2022-W07,378,433,12,3,3,70.21%
Product,/products/modular-wall-trellis-system,2022-W07,528,557,15,2,2,65.71%
Blog Article,/blogs/academy/how-to-fill-raised-garden-beds-and-save-money,2022-W07,3254,3613,7,2,2,83.56%
Custom Page,/pages/refer-and-earn,2022-W07,42,49,1,2,2,63.27%
Collection,/collections/best-sellers,2022-W07,31,36,2,2,2,61.11%
Collection,/collections/rolling-beds,2022-W07,86,109,3,2,2,56.88%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-standard-size,2022-W07,364,405,8,2,2,75.80%
Blog Article,/blogs/academy/vego-garden-diy-ideas,2022-W07,41,50,1,2,2,64.00%
Checkout,/orders,2022-W07,149,216,2,1,1,80.56%
Product,/products/17-tall-vego-garden-2-ft-extension-kit,2022-W07,60,71,1,1,1,63.38%
Product,/products/connecting-rod-bag,2022-W07,168,174,3,1,1,54.02%
Custom Page,/pages/track-orders,2022-W07,160,194,2,1,0,59.28%
Blog Article,/blogs/articles/ideas-for-customizable-metal-raised-garden-beds,2022-W07,3,3,1,1,1,0.00%
List of Collections,/collections,2022-W07,128,145,4,1,0,47.59%
Blog Article,/blogs/academy/metal-raised-garden-beds-vs-wood-raised-garden-beds,2022-W07,497,523,10,1,1,68.26%
App Generated,/apps/faq,2022-W07,165,212,5,1,1,64.62%
Collection,/collections/add-ons,2022-W07,153,181,6,1,0,66.85%
Collection,/collections/herb-kids-gardens,2022-W07,13,14,1,1,1,57.14%
Blog Article,/blogs/articles/vegetables-to-grow-in-winter,2022-W07,6,7,1,1,1,57.14%
Customer Account,/account/invalid_token,2022-W07,13,14,1,1,1,71.43%
Customer Account,/account,2022-W07,32,41,4,1,1,43.90%
Custom Page,/pages/refund-policy,2022-W07,5,6,0,0,0,83.33%
Product,/products/32-extra-tall-4-in-1-modular-raised-garden-bed-kit,2022-W07,245,279,7,0,0,64.87%
Customer Account,/account/orders,2022-W07,4,4,0,0,0,50.00%
Collection,/collections/arched-trellis,2022-W07,1,1,0,0,0,0.00%
Collection,/collections/new-arrivals,2022-W07,4,4,0,0,0,50.00%
Custom Page,/pages/vego-garden-donation,2022-W07,7,13,0,0,0,53.85%
Blog Article,/blogs/academy/how-much-soil-do-i-need-for-a-raised-garden-bed,2022-W07,80,87,0,0,0,80.46%
Blog Article,/blogs/articles/how-to-grow-tomatoes,2022-W07,15,15,0,0,0,93.33%
Blog Index,/blogs/academy,2022-W07,36,42,0,0,0,47.62%
Blog Article,/blogs/articles/what-to-know-before-building-a-raised-garden-bed,2022-W07,4,4,0,0,0,25.00%
Collection,/collections/wall-trellis,2022-W07,1,1,0,0,0,0.00%
Custom Page,/pages/terms-of-service,2022-W07,2,2,0,0,0,100.00%
Blog Article,/blogs/academy/why-is-aluzinc-steel-the-best-material-for-raised-garden-beds,2022-W07,72,72,0,0,0,59.72%
Blog Article,/blogs/articles/how-to-get-rid-of-fruit-flies,2022-W07,5,6,0,0,0,100.00%
Blog Article,/blogs/articles/growing-mother-in-laws-tongue-plant,2022-W07,32,34,0,0,0,88.24%
Blog Article,/blogs/articles/how-to-build-a-raised-garden-bed-and-garden-boxes,2022-W07,18,18,0,0,0,72.22%
Custom Page,/pages/why-we-are-the-best,2022-W07,4,4,1,0,0,25.00%
Product,/products/vego-garden-sticker-kit,2022-W07,22,24,1,0,0,70.83%
Blog Article,/blogs/articles/how-to-grow-and-harvest-lettuce,2022-W07,16,18,0,0,0,100.00%
Blog Article,/blogs/articles/7-tips-for-successful-raised-bed-gardening,2022-W07,4,4,0,0,0,75.00%
Blog Article,/blogs/articles/how-to-water-succulents,2022-W07,50,60,0,0,0,88.33%
Blog Article,/blogs/articles/how-to-plant-asparagus,2022-W07,1,3,0,0,0,66.67%
Blog Article,/blogs/articles/pros-and-cons-of-raised-bed-vegetable-gardening,2022-W07,14,15,0,0,0,100.00%
Product,/products/stainless-steel-gopher-net-staples-kit,2022-W07,120,130,1,0,0,75.38%
Blog Article,/blogs/articles/red-plants-for-valentine-s-day-and-beyond,2022-W07,5,5,0,0,0,100.00%
Custom Page,/pages/sustainability,2022-W07,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/the-best-ways-to-utilize-modular-garden-beds,2022-W07,4,4,0,0,0,0.00%
Blog Article,/blogs/articles/the-best-raised-garden-bed-options-for-the-backyard,2022-W07,14,15,0,0,0,60.00%
Collection,/collections/17-tall-diy-components,2022-W07,32,40,0,0,0,60.00%
Blog Article,/blogs/articles/do-raised-garden-beds-need-drainage,2022-W07,3,3,0,0,0,66.67%
Blog Article,/blogs/articles/how-to-compost-at-home-for-beginners,2022-W07,558,612,5,0,0,70.92%
Blog Article,/blogs/articles/why-is-everyone-obsessed-with-modular-garden-beds,2022-W07,3,3,0,0,0,100.00%
Blog Article,/blogs/articles/wandering-jew-plant-care,2022-W07,141,176,0,0,0,93.75%
Blog Article,/blogs/articles/how-to-grow-garlic,2022-W07,75,86,0,0,0,84.88%
Blog Article,/blogs/articles/how-to-grow-basil,2022-W07,44,49,0,0,0,91.84%
Custom Page,/pages/kids-program,2022-W07,17,20,0,0,0,70.00%
Product,/products/dragon-fruit-rolling-planter,2022-W07,244,264,3,0,0,68.18%
Collection,/collections/help-me-choose,2022-W07,27,46,1,0,0,63.04%
Customer Account,/account/register,2022-W07,11,14,0,0,0,57.14%
Blog Article,/blogs/articles/how-deep-should-raised-garden-beds-be,2022-W07,18,20,0,0,0,80.00%
Blog Article,/blogs/articles/how-to-grow-brussel-sprouts,2022-W07,14,16,0,0,0,87.50%
Blog Index,/blogs/articles,2022-W07,65,90,0,0,0,50.00%
Product,/products/vego-garden-gift-card,2022-W07,3,6,0,0,0,66.67%
Custom Page,/pages/new-products,2022-W07,27,28,0,0,0,32.14%
Blog Article,/blogs/articles/how-to-grow-orchids,2022-W07,2,2,0,0,0,100.00%
Blog Article,/blogs/articles/raised-garden-bed-buying-guide,2022-W07,4,5,0,0,0,60.00%
Checkout,/gift_cards/28622716963/f832c440a1b135d157496a99e56c6673,2022-W07,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/easiest-vegetables-to-grow,2022-W07,6,6,1,0,0,83.33%
Blog Article,/blogs/articles/why-modular-garden-beds-are-the-new-trend,2022-W07,7,12,0,0,0,66.67%
Custom Page,/pages/contact-us,2022-W07,142,171,3,0,0,73.68%
Product,/products/frost-cover,2022-W07,250,271,3,0,0,61.99%
Blog Article,/blogs/articles/preparing-your-winter-garden-for-spring,2022-W07,8,10,0,0,0,70.00%
Blog Article,/blogs/articles/5-best-raised-garden-beds-in-2021,2022-W07,2,2,0,0,0,50.00%
Blog Article,/blogs/articles/how-to-get-rid-of-gnats,2022-W07,11,11,0,0,0,90.91%
Blog Article,/blogs/academy/difference-between-garden-soil-and-raised-bed-soil,2022-W07,424,454,0,0,0,78.63%
Blog Article,/blogs/articles/8-excellent-reasons-to-use-raised-beds-in-your-garden,2022-W07,35,38,0,0,0,65.79%
Blog Article,/blogs/articles/how-to-grow-lemon-balm,2022-W07,8,8,0,0,0,100.00%
Blog Article,/blogs/articles/9-tips-for-successful-raised-garden-bed-gardening,2022-W07,111,115,0,0,0,79.13%
Collection,/collections/vego-garden-diy-components,2022-W07,47,49,3,0,0,28.57%
Blog Article,/blogs/articles/7-beginner-raised-bed-gardening-mistakes-to-avoid,2022-W07,21,22,0,0,0,81.82%
Custom Page,/pages/giving-back,2022-W07,7,13,0,0,0,23.08%
Blog Article,/blogs/articles/how-to-grow-onions,2022-W07,47,51,0,0,0,86.27%
Blog Article,/blogs/articles/how-to-plant-potatoes,2022-W07,166,193,0,0,0,92.23%
Product,/products/test-product,2022-W07,6,8,0,0,0,75.00%
Product,/products/extra-tall-32-corner-panel-tc10,2022-W07,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/gift-ideas-for-gardeners,2022-W07,1,1,0,0,0,0.00%
Custom Page,/pages/our-mission,2022-W07,6,8,0,0,0,50.00%
Homepage,,2022-W08,45854,50308,1674,652,537,47.40%
Cart,/cart,2022-W08,912,1377,159,111,96,48.87%
Checkout,/checkouts,2022-W08,277,348,16,110,63,51.72%
Product,/products/vego-garden-6-in-1-modular-raised-garden-bed-kit,2022-W08,6077,6898,286,107,85,69.50%
Collection,/collections/all,2022-W08,3370,3706,193,87,75,56.72%
Product,/products/32-extra-tall-10-in-1-modular-raised-garden-bed-kit,2022-W08,3388,3791,111,44,35,67.48%
Product,/products/32-extra-tall-9-in-1-modular-raised-garden-bed-kit,2022-W08,4956,5475,147,40,32,68.82%
Product,/products/10-in-1-modular-metal-raised-garden-bed-kit,2022-W08,3380,3823,117,40,35,69.63%
Product,/products/9-in-1-modular-raised-garden-bed,2022-W08,1800,2192,77,34,30,70.35%
Collection,/collections/garden-beds,2022-W08,869,1051,60,29,27,59.47%
Collection,/collections/vego-garden-17-standard-kits,2022-W08,716,929,54,22,19,58.67%
Blog Article,/blogs/articles/5-reasons-to-start-your-garden-in-the-winter,2022-W08,1355,1483,45,18,13,56.84%
Product,/products/17-tall-42-wide-round-metal-raised-garden-bed,2022-W08,1724,1894,51,17,14,69.27%
Product,/products/32-extra-tall-6-in-1-modular-raised-garden-bed-kit,2022-W08,681,892,39,17,15,71.97%
Product,/products/garden-bed-cover-systems,2022-W08,1842,1990,52,17,12,65.33%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-standard-size,2022-W08,1939,2157,57,16,13,62.22%
Collection,/collections/special-shapes,2022-W08,3356,3476,54,14,10,74.54%
Product,/products/cascading-raised-garden-bed-kit-standard-size,2022-W08,4881,5056,88,13,8,82.14%
Custom Page,/pages/design-galleries,2022-W08,338,417,16,11,11,60.91%
Product,/products/17-tall-4-in-1-modular-metal-raised-garden-bed-kit,2022-W08,564,707,33,10,9,64.78%
Product,/products/garden-arch-trellis,2022-W08,2607,2805,63,9,5,71.55%
Collection,/collections/on-sale,2022-W08,519,614,28,8,6,53.75%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-jumbo-size,2022-W08,1334,1433,21,7,7,76.34%
Product,/products/17-inch-tall-kids-first-raised-bed,2022-W08,281,329,13,7,7,63.53%
Product,/products/worm-farm-worm-composter,2022-W08,1151,1257,20,7,4,75.58%
Collection,/collections/extra-tall-32-raised-bed,2022-W08,458,650,20,6,4,62.15%
Collection,/collections/small-garden-collection,2022-W08,102,131,6,6,5,64.89%
Collection,/collections/add-ons,2022-W08,127,158,7,5,5,63.92%
Product,/products/32-extra-tall-4-in-1-modular-raised-garden-bed-kit,2022-W08,208,233,10,4,4,65.24%
Blog Article,/blogs/academy/metal-raised-garden-beds-vs-wood-raised-garden-beds,2022-W08,577,599,10,4,4,68.45%
Product,/products/32extra-tall-42-round-metal-garden-bed,2022-W08,333,395,9,4,4,69.37%
Product,/products/connecting-rod-bag,2022-W08,414,432,12,4,3,64.58%
Collection,/collections/help-me-choose,2022-W08,31,40,2,4,4,67.50%
Checkout,/orders,2022-W08,596,806,4,3,3,76.18%
Custom Page,/pages/happy-customers,2022-W08,73,82,7,3,1,52.44%
Customer Account,/account/login,2022-W08,50,60,2,3,2,21.67%
List of Collections,/collections,2022-W08,102,114,4,3,3,36.84%
Product,/products/modular-wall-trellis-system,2022-W08,589,632,19,3,2,67.41%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-standard-size,2022-W08,159,180,5,3,3,68.33%
Product,/products/elevated-rolling-garden-bed,2022-W08,318,359,10,3,2,65.74%
Product,/products/rolling-planter-twin-pack,2022-W08,1386,1446,15,3,3,73.65%
Custom Page,/pages/about-vego,2022-W08,140,148,4,2,2,38.51%
Custom Page,/pages/contact-us,2022-W08,146,180,2,2,2,72.78%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-large-size,2022-W08,369,416,8,2,1,75.24%
Collection,/collections/vego-garden-diy-components,2022-W08,25,31,2,2,2,51.61%
Customer Account,/account,2022-W08,37,44,3,2,2,45.45%
Custom Page,/pages/refer-and-earn,2022-W08,58,68,2,2,2,47.06%
Blog Article,/blogs/academy/how-to-fill-raised-garden-beds-and-save-money,2022-W08,3965,4405,5,2,2,82.81%
Customer Account,/account/register,2022-W08,7,7,0,1,1,42.86%
Product,/products/herb-garden-24-wide-17-tall-twin-pack,2022-W08,468,555,13,1,1,70.63%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-large-size,2022-W08,372,428,5,1,1,68.93%
Product,/products/stainless-steel-gopher-net-staples-kit,2022-W08,153,169,5,1,1,76.33%
Blog Article,/blogs/academy/why-is-aluzinc-steel-the-best-material-for-raised-garden-beds,2022-W08,79,93,5,1,1,65.59%
Product,/products/dragon-fruit-rolling-planter,2022-W08,200,227,2,1,1,69.16%
Custom Page,/pages/track-orders,2022-W08,106,123,3,1,1,56.91%
Product,/products/17-tall-vego-garden-2-ft-extension-kit,2022-W08,62,75,1,1,1,62.67%
Product,/products/frost-cover,2022-W08,426,450,10,1,1,62.67%
App Generated,/apps/faq,2022-W08,189,222,5,1,1,62.61%
Collection,/collections/best-sellers,2022-W08,36,37,4,1,1,51.35%
Blog Article,/blogs/articles/how-to-compost-at-home-for-beginners,2022-W08,181,212,2,1,1,77.83%
Checkout,/gift_cards/28622716963/838f14eb41408a5209379c0e1fd2fc26,2022-W08,1,1,0,0,0,100.00%
Custom Page,/pages/assembly,2022-W08,2,2,0,0,0,100.00%
Blog Article,/blogs/academy/early-spring-perennial-flowers,2022-W08,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-plant-potatoes,2022-W08,197,229,1,0,0,87.77%
Custom Page,/pages/new-products,2022-W08,41,60,4,0,0,63.33%
Blog Article,/blogs/articles/the-best-ways-to-utilize-modular-garden-beds,2022-W08,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/best-crops-to-grow-with-kids,2022-W08,1,1,0,0,0,100.00%
Blog Article,/blogs/academy/how-to-start-seeds-for-vegetable-garden,2022-W08,4,4,0,0,0,100.00%
Blog Article,/blogs/academy/vego-garden-diy-ideas,2022-W08,48,48,0,0,0,70.83%
Blog Article,/blogs/articles/when-to-start-seeds-for-vegetable-garden,2022-W08,7,7,0,0,0,85.71%
Product,/products/vego-garden-sticker-kit,2022-W08,34,43,0,0,0,72.09%
Blog Index,/blogs/articles,2022-W08,69,97,0,0,0,58.76%
Blog Article,/blogs/articles/everything-you-need-to-know-about-raised-garden-beds,2022-W08,1,1,0,0,0,100.00%
Custom Page,/pages/sustainability,2022-W08,12,13,0,0,0,30.77%
Blog Article,/blogs/articles/preparing-your-winter-garden-for-spring,2022-W08,8,10,0,0,0,100.00%
Blog Article,/blogs/articles/the-best-raised-garden-bed-options-for-the-backyard,2022-W08,22,24,0,0,0,75.00%
Blog Article,/blogs/academy/difference-between-garden-soil-and-raised-bed-soil,2022-W08,340,367,0,0,0,80.65%
Blog Article,/blogs/articles/how-to-grow-onions,2022-W08,48,51,0,0,0,86.27%
Collection,/collections/vego-garden-17-standard-kits/products,2022-W08,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/is-raised-bed-garden-environmentally-responsive-or-not,2022-W08,1,2,0,0,0,100.00%
Blog Article,/blogs/articles/how-deep-should-raised-garden-beds-be,2022-W08,29,35,0,0,0,71.43%
Blog Article,/blogs/articles/what-to-know-before-building-a-raised-garden-bed,2022-W08,6,8,0,0,0,87.50%
Blog Article,/blogs/articles/how-to-vermicompost-for-beginners,2022-W08,2,2,0,0,0,100.00%
Blog Article,/blogs/articles/ideas-for-customizable-metal-raised-garden-beds,2022-W08,6,6,0,0,0,66.67%
Blog Article,/blogs/articles/easiest-vegetables-to-grow,2022-W08,4,4,1,0,0,50.00%
Collection,/collections/herb-kids-gardens,2022-W08,5,6,0,0,0,66.67%
Blog Article,/blogs/academy/when-to-start-seeds-for-vegetable-garden,2022-W08,3,3,0,0,0,100.00%
Blog Article,/blogs/articles/why-modular-garden-beds-are-the-new-trend,2022-W08,2,3,0,0,0,33.33%
Blog Article,/blogs/articles/pros-and-cons-of-raised-bed-vegetable-gardening,2022-W08,20,20,0,0,0,85.00%
Collection,/collections/in-stock-item-list,2022-W08,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/how-to-grow-lemon-balm,2022-W08,10,10,0,0,0,90.00%
Blog Article,/blogs/articles/how-to-get-rid-of-fruit-flies,2022-W08,2,2,0,0,0,50.00%
Blog Article,/blogs/articles/do-raised-garden-beds-need-drainage,2022-W08,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/7-beginner-raised-bed-gardening-mistakes-to-avoid,2022-W08,42,53,0,0,0,77.36%
Custom Page,/pages/giving-back,2022-W08,5,6,0,0,0,50.00%
Search,/search,2022-W08,4,4,0,0,0,75.00%
Collection,/collections/17-tall-diy-components,2022-W08,20,25,0,0,0,64.00%
Blog Article,/blogs/articles/how-to-grow-garlic,2022-W08,93,118,0,0,0,89.83%
Blog Article,/blogs/articles/how-to-grow-basil,2022-W08,56,63,0,0,0,93.65%
Blog Article,/blogs/articles/how-to-build-a-raised-garden-bed-and-garden-boxes,2022-W08,20,20,0,0,0,80.00%
Customer Account,/account/addresses,2022-W08,1,1,0,0,0,0.00%
Custom Page,/pages/why-we-are-the-best,2022-W08,4,4,0,0,0,75.00%
Blog Article,/blogs/articles/how-to-grow-and-harvest-lettuce,2022-W08,23,26,0,0,0,84.62%
Blog Article,/blogs/articles/how-to-grow-tomatoes,2022-W08,13,13,0,0,0,100.00%
Blog Index,/blogs/academy,2022-W08,39,49,0,0,0,42.86%
Blog Article,/blogs/articles/how-to-grow-brussel-sprouts,2022-W08,10,10,0,0,0,100.00%
Product,/products/vego-garden-gift-card,2022-W08,3,3,0,0,0,0.00%
Blog Article,/blogs/academy/guide-to-growing-artichokes,2022-W08,2,2,0,0,0,50.00%
Custom Page,/pages/our-mission,2022-W08,26,32,0,0,0,75.00%
Blog Article,/blogs/articles/7-tips-for-successful-raised-bed-gardening,2022-W08,3,3,0,0,0,66.67%
Blog Article,/blogs/articles/early-spring-perennial-flowers,2022-W08,2,2,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-water-succulents,2022-W08,41,49,0,0,0,85.71%
Blog Article,/blogs/articles/raised-garden-bed-buying-guide,2022-W08,8,8,1,0,0,62.50%
Collection,/collections/rolling-beds,2022-W08,99,124,5,0,0,63.71%
Blog Article,/blogs/articles/how-to-plant-asparagus,2022-W08,1,1,0,0,0,100.00%
Collection,/collections/new-arrivals,2022-W08,6,13,0,0,0,53.85%
Custom Page,/pages/terms-of-service,2022-W08,6,6,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-start-seeds-for-vegetable-garden,2022-W08,4,4,0,0,0,100.00%
Customer Account,/account/invalid_token,2022-W08,14,14,0,0,0,78.57%
Blog Article,/blogs/articles/5-best-raised-garden-beds-in-2021,2022-W08,5,7,0,0,0,85.71%
Custom Page,/pages/vego-garden-donation,2022-W08,6,7,1,0,0,42.86%
Blog Article,/blogs/articles/how-to-get-rid-of-gnats,2022-W08,8,9,0,0,0,100.00%
Blog Article,/blogs/academy/how-to-vermicompost-for-beginners,2022-W08,1,2,0,0,0,50.00%
Blog Article,/blogs/articles/best-vegetables-to-grow-in-early-spring,2022-W08,14,16,0,0,0,100.00%
Custom Page,/pages/refund-policy,2022-W08,11,13,0,0,0,76.92%
Blog Article,/blogs/academy/best-vegetables-to-grow-in-early-spring,2022-W08,6,7,0,0,0,100.00%
Blog Article,/blogs/articles/8-excellent-reasons-to-use-raised-beds-in-your-garden,2022-W08,38,43,1,0,0,65.12%
Blog Article,/blogs/articles/grow-some-green-for-your-st-patricks-day,2022-W08,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/9-tips-for-successful-raised-garden-bed-gardening,2022-W08,768,866,5,0,0,76.67%
Blog Article,/blogs/academy/how-much-soil-do-i-need-for-a-raised-garden-bed,2022-W08,57,68,0,0,0,77.94%
Blog Article,/blogs/articles/guide-to-growing-artichokes,2022-W08,4,4,0,0,0,75.00%
Blog Article,/blogs/academy/10-sustainable-spring-gardening-tips,2022-W08,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/growing-mother-in-laws-tongue-plant,2022-W08,25,28,0,0,0,85.71%
Blog Article,/blogs/articles/why-is-everyone-obsessed-with-modular-garden-beds,2022-W08,2,2,0,0,0,0.00%
Custom Page,/pages/kids-program,2022-W08,78,89,2,0,0,68.54%
Blog Article,/blogs/articles/wandering-jew-plant-care,2022-W08,202,227,0,0,0,95.59%
Collection,/collections/composter,2022-W08,2,2,0,0,0,0.00%
Customer Account,/account/orders,2022-W08,4,7,0,0,0,57.14%
Blog Article,/blogs/articles/vegetables-to-grow-in-winter,2022-W08,3,4,0,0,0,75.00%
Homepage,,2022-W09,53231,58477,1907,777,650,45.08%
Cart,/cart,2022-W09,1048,1584,191,148,123,44.57%
Product,/products/vego-garden-6-in-1-modular-raised-garden-bed-kit,2022-W09,8643,9855,346,119,100,71.57%
Checkout,/checkouts,2022-W09,280,373,11,110,72,53.89%
Collection,/collections/all,2022-W09,4279,4736,217,86,75,56.59%
Product,/products/32-extra-tall-9-in-1-modular-raised-garden-bed-kit,2022-W09,7798,8505,227,72,58,68.50%
Product,/products/9-in-1-modular-raised-garden-bed,2022-W09,3277,3944,147,71,57,72.31%
Product,/products/10-in-1-modular-metal-raised-garden-bed-kit,2022-W09,3753,4286,110,42,35,70.37%
Collection,/collections/garden-beds,2022-W09,1337,1657,78,35,30,63.97%
Product,/products/32-extra-tall-6-in-1-modular-raised-garden-bed-kit,2022-W09,938,1123,58,28,23,64.20%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-standard-size,2022-W09,2806,3065,93,25,22,63.13%
Collection,/collections/vego-garden-17-standard-kits,2022-W09,725,935,48,23,23,56.90%
Product,/products/17-tall-4-in-1-modular-metal-raised-garden-bed-kit,2022-W09,745,920,51,22,17,61.41%
Blog Article,/blogs/articles/5-reasons-to-start-your-garden-in-the-winter,2022-W09,1557,1673,47,20,15,55.95%
Product,/products/32-extra-tall-10-in-1-modular-raised-garden-bed-kit,2022-W09,1472,1749,32,17,15,73.64%
Product,/products/17-tall-42-wide-round-metal-raised-garden-bed,2022-W09,2874,3110,56,14,10,72.06%
Collection,/collections/on-sale,2022-W09,482,543,23,12,7,46.41%
Collection,/collections/extra-tall-32-raised-bed,2022-W09,502,604,26,12,11,57.45%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-jumbo-size,2022-W09,1515,1628,26,11,8,75.25%
Product,/products/cascading-raised-garden-bed-kit-standard-size,2022-W09,3998,4167,56,10,7,79.82%
Product,/products/modular-wall-trellis-system,2022-W09,978,1040,25,9,6,66.83%
Product,/products/herb-garden-24-wide-17-tall-twin-pack,2022-W09,652,692,18,8,4,72.25%
Product,/products/32extra-tall-42-round-metal-garden-bed,2022-W09,345,401,21,8,5,69.08%
Product,/products/garden-arch-trellis,2022-W09,3478,3702,58,8,6,74.39%
Custom Page,/pages/happy-customers,2022-W09,80,100,8,7,6,43.00%
Product,/products/worm-farm-worm-composter,2022-W09,980,1062,20,7,6,75.14%
Product,/products/32-extra-tall-4-in-1-modular-raised-garden-bed-kit,2022-W09,224,250,11,7,7,63.60%
Customer Account,/account,2022-W09,42,60,8,7,5,45.00%
Collection,/collections/special-shapes,2022-W09,5599,5740,64,7,7,74.04%
Product,/products/17-inch-tall-kids-first-raised-bed,2022-W09,418,522,13,7,5,72.03%
Checkout,/orders,2022-W09,685,999,8,6,5,75.38%
Customer Account,/account/login,2022-W09,72,83,8,6,6,16.87%
Product,/products/vego-coffee-mug,2022-W09,310,329,19,5,5,68.39%
Product,/products/rolling-planter-twin-pack,2022-W09,1956,2021,22,5,5,76.94%
Blog Article,/blogs/articles/best-vegetables-to-grow-in-early-spring,2022-W09,1163,1368,9,5,4,88.16%
Product,/products/garden-bed-cover-systems,2022-W09,3652,3900,63,5,5,69.21%
Product,/products/connecting-rod-bag,2022-W09,1157,1190,20,4,4,65.29%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-large-size,2022-W09,391,425,8,4,3,72.00%
Custom Page,/pages/design-galleries,2022-W09,357,434,13,4,4,60.37%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-standard-size,2022-W09,260,286,7,3,3,69.58%
Product,/products/17-tall-vego-garden-2-ft-extension-kit,2022-W09,66,89,6,3,3,56.18%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-large-size,2022-W09,459,484,8,3,1,72.93%
List of Collections,/collections,2022-W09,108,123,6,3,2,40.65%
Blog Article,/blogs/academy/how-to-fill-raised-garden-beds-and-save-money,2022-W09,5035,5582,14,3,2,83.70%
App Generated,/apps/faq,2022-W09,205,238,2,2,2,62.61%
Product,/products/dragon-fruit-rolling-planter,2022-W09,324,359,2,2,0,71.03%
Product,/products/elevated-rolling-garden-bed,2022-W09,396,432,3,2,2,69.21%
Collection,/collections/small-garden-collection,2022-W09,76,94,6,2,2,61.70%
Product,/products/vego-garden-sticker-kit,2022-W09,65,73,3,2,2,67.12%
Collection,/collections/add-ons,2022-W09,139,157,8,2,1,51.59%
Blog Index,/blogs/academy,2022-W09,63,70,1,1,1,41.43%
Custom Page,/pages/refer-and-earn,2022-W09,56,64,4,1,1,46.88%
Collection,/collections/rolling-beds,2022-W09,152,185,7,1,1,61.62%
Custom Page,/pages/track-orders,2022-W09,142,171,1,1,1,46.78%
Product,/products/frost-cover,2022-W09,440,458,7,1,1,58.08%
Blog Article,/blogs/academy/why-is-aluzinc-steel-the-best-material-for-raised-garden-beds,2022-W09,62,63,1,1,0,50.79%
Collection,/collections/help-me-choose,2022-W09,37,53,1,1,1,75.47%
Blog Article,/blogs/academy/metal-raised-garden-beds-vs-wood-raised-garden-beds,2022-W09,797,823,7,1,1,69.50%
Search,/search,2022-W09,27,33,3,1,1,42.42%
Blog Article,/blogs/articles/techniques-for-improving-soil-quality,2022-W09,4,4,0,1,1,75.00%
Blog Article,/blogs/articles/when-to-start-seeds-for-vegetable-garden,2022-W09,16,17,0,0,0,94.12%
Blog Article,/blogs/articles/5-best-raised-garden-beds-in-2021,2022-W09,2,2,0,0,0,0.00%
Custom Page,/pages/giving-back,2022-W09,5,5,0,0,0,60.00%
Collection,/collections/garden-beds/17-tall,2022-W09,2,3,0,0,0,66.67%
Blog Article,/blogs/articles/time-saving-tips-for-vegetable-gardeners,2022-W09,1,1,0,0,0,100.00%
Collection,/collections/new-arrivals,2022-W09,12,15,0,0,0,66.67%
Blog Article,/blogs/articles/pros-and-cons-of-raised-bed-vegetable-gardening,2022-W09,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-grow-lemon-balm,2022-W09,4,4,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-plant-potatoes,2022-W09,23,34,0,0,0,82.35%
Blog Index,/blogs/articles,2022-W09,78,98,1,0,0,47.96%
Custom Page,/pages/our-mission,2022-W09,7,16,0,0,0,68.75%
Custom Page,/pages/feature-material,2022-W09,2,2,0,0,0,100.00%
Blog Article,/blogs/articles/8-excellent-reasons-to-use-raised-beds-in-your-garden,2022-W09,32,41,0,0,0,65.85%
Blog Article,/blogs/academy/how-much-soil-do-i-need-for-a-raised-garden-bed,2022-W09,60,72,0,0,0,73.61%
Blog Article,/blogs/articles/guide-to-growing-artichokes,2022-W09,2,2,0,0,0,100.00%
Blog Article,/blogs/articles/vegetables-to-grow-in-winter,2022-W09,4,4,0,0,0,100.00%
Custom Page,/pages/assembly,2022-W09,1,2,0,0,0,100.00%
Customer Account,/account/invalid_token,2022-W09,13,13,0,0,0,84.62%
Blog Article,/blogs/articles/how-to-grow-tomatoes,2022-W09,3,3,0,0,0,66.67%
